,title,path,style,genres
422,Wilted Woman   Songs in the Key of Wilt,Wilted Woman - Songs in the Key of Wilt,"['Alternative Rock', 'Berlin-School', 'Leftfield', 'Techno']","['Electronic', 'Rock']"
423,forest drive west jungle crack ep,forest_drive_west-jungle_crack_ep,"['Drum n Bass', 'Jungle']",['Electronic']
424,Ascot ww   Welcome To The Wicked Land,Ascot-ww - Welcome To The Wicked Land,"['Breakbeat', 'Electro']",['Electronic']
425,Drax   The 3rd Decade,Drax - The 3rd Decade,"['Techno', 'Acid']",['Electronic']
428,Madteo   Str8 Crooked,Madteo - Str8 Crooked,"['Ghetto House', 'House']",['Electronic']
429,Aleksa Alaska  Chlorys   NMX002  Paranormal Mixtape,Aleksa Alaska- Chlorys - NMX002- Paranormal Mixtape,"['Abstract', 'Neo Trance']",['Electronic']
432,Fabio Fabio   Masochistas EP ,Fabio Fabio - Masochistas EP (IVR011),['Electro'],['Electronic']
435,UVB76   IWA GAADEN,UVB76 - IWA GAADEN,['Experimental'],['Electronic']
437,BKV Cadavre   VOM   Fire In The Mind,BKV Cadavre - VOM - Fire In The Mind.mp3,"['Experimental', 'Dub']","['Electronic', 'Rock']"
439,Caski   Structures,Caski - Structures.mp3,"['UK Garage', 'Techno']",['Electronic']
440,Mars89   Lucid Dream EP,Mars89 - Lucid Dream EP,"['Experimental', 'Dancehall']","['Electronic', 'Reggae']"
441,Krush Lumpkin   Rilascio,Krush Lumpkin - Rilascio,"['Leftfield', 'Footwork']",['Electronic']
442,Low Jack   Les Riddims du Lieu dit,Low Jack - Les Riddims du Lieu-dit,"['Dancehall', 'Industrial', 'Breakbeat']","['Electronic', 'Reggae']"
443,Tammo Hesselink   It Is Easy To See,Tammo Hesselink - It Is Easy To See.mp3,['Techno'],['Electronic']
444,Logic1000   LOGIC1000,Logic1000 - LOGIC1000,"['Dubstep', 'House']",['Electronic']
445,Seven Sisters   Pursuit Ep,Seven Sisters - Pursuit Ep,"['Abstract', 'Ambient', 'Deep Techno', 'Noise', 'IDM']",['Electronic']
447,Dori Sorride   A Catturare I Raggi,Dori Sorride - A Catturare I Raggi,"['Hyperpop', 'Leftfield']","['Electronic', 'Pop']"
448,a rocket in dub   normal dub,a rocket in dub - normal dub,"['Dub', 'Dub Techno', 'IDM']",['Electronic']
449,Christos Chondropoulos   Oaks,Christos Chondropoulos - Oaks.mp3,"['Experimental', 'Éntekhno', 'African', 'Big Beat']","['Electronic', 'Folk, World, & Country']"
450,John T. Gast   SINEAD MEMORY TAPE ,John T. Gast - SINEAD MEMORY TAPE (2015),"['Ambient', 'Experimental', 'Drone']",['Electronic']
451,Beneath   Numbers Talk EP,Beneath - Numbers Talk EP,"['Dub', 'Dub Techno']",['Electronic']
452,Massacooramaan   Dancehall Princess,Massacooramaan - Dancehall Princess.mp3,['Ghetto'],['Electronic']
453,Mall Grab   How The Dogs Chill  Vol.1,Mall Grab - How The Dogs Chill- Vol.1,"['House', 'Leftfield', 'Breaks', 'Deep House']",['Electronic']
454,Tessela   Hackney Parrot   Helter Skelter,Tessela - Hackney Parrot - Helter Skelter,"['Bass Music', 'Jungle']",['Electronic']
455,Randomer   HEK021   Randomer   Bring   Curtains,Randomer - HEK021 - Randomer - Bring - Curtains,['Techno'],['Electronic']
458,Bakongo   Thirteen Level Cowbell,Bakongo - Thirteen-Level Cowbell,"['Bass Music', 'Tribal']",['Electronic']
459,Various Artists   Music For Balconies 2,Various Artists - Music For Balconies 2,['Indie Rock'],"['Electronic', 'Rock']"
461,SAINT ABDULLAH   IN GODS IMAGE,SAINT ABDULLAH - IN GOD'S IMAGE,"['Abstract', 'Dub', 'Industrial', 'Illbient', 'Future Jazz']","['Electronic', 'Non-Music', 'Folk, World, & Country']"
462,Batu   Bleeper Feed   April These,Batu - Bleeper Feed - April These,['Techno'],['Electronic']
463,Jake Muir   ITLP10   Mana,Jake Muir - ITLP10 - Mana,"['Illbient', 'Ambient', 'Abstract']",['Electronic']
464,Duma   Duma,Duma - Duma,"['Breakcore', 'Industrial', 'Noise', 'Grindcore']","['Electronic', 'Rock']"
465,Kahn      Dread + Dubkasm Versions ,Kahn - (2020) - Dread + Dubkasm Versions [MEDI-117],"['Dub', 'Dubstep']",['Electronic']
466,OSS001 Masters,OSS001 Masters,"['Hip Hop', 'Garage House', 'House']","['Electronic', 'Hip Hop']"
467,KELMAN DURAN   1804 KIDS,KELMAN DURAN - 1804 KIDS,"['Experimental', 'Reggaeton']","['Electronic', 'Latin']"
468,Florian T M Zeisig   You Look So Serious,Florian T M Zeisig - You Look So Serious,['Ambient'],['Electronic']
469,Pawels Bar   Pawels Bar   Cantina,Pawel's Bar - Pawel's Bar - Cantina,"['Dub', 'Downtempo', 'Leftfield', 'Future Jazz']",['Electronic']
470,Bruce   Im Alright Mate   Post Rave Wrestle,Bruce - I'm Alright Mate - Post Rave Wrestle,"['Techno', 'Abstract']",['Electronic']
471,Dentis   The Pintupi Nine EP,Dentis - The Pintupi Nine EP,"['Industrial', 'Techno']",['Electronic']
472,Laksa   The Amala Trick   In The Middle,Laksa - The Amala Trick - In The Middle,"['Abstract', 'Experimental', 'Techno']",['Electronic']
473,Bokeh Allstars   Mutual Aid 2020,Bokeh Allstars - Mutual Aid 2020,"['Dub', 'Illbient']","['Electronic', 'Hip Hop', 'Reggae']"
474,GUNDAM   DARKSIDE DUB,GUNDAM - DARKSIDE DUB.mp3,['Grime'],['Electronic']
475,Objekt   Objekt #4,Objekt - Objekt #4,"['House', 'Breaks', 'Techno']",['Electronic']
477,Loefah   woman,Loefah - woman.mp3,['Dubstep'],['Electronic']
479,BABE ROOTS   MUSIC MISSION EP,BABE ROOTS - MUSIC MISSION EP,"['Latin', 'Hi NRG', 'Italo-Disco', 'Pop Rap', 'Disco', 'Techno', 'Euro House', 'House', 'Electro', 'Synth-pop', 'Funk']","['Electronic', 'Hip Hop', 'Funk / Soul']"
480,Loefah   Ginnocchio,Loefah - Ginnocchio.mp3,['Dubstep'],['Electronic']
481,Chaperone   Jazz From the Shelter,Chaperone - Jazz From the Shelter,"['New Age', 'Techno', 'Hip Hop', 'Dub']","['Electronic', 'Hip Hop', 'Non-Music']"
482,Jonah Dan   Galactic Light,Jonah Dan - Galactic Light.mp3,['Dub'],"['Electronic', 'Reggae']"
483,Oyl   Urm,Oyl - Urm,"['Experimental', 'Abstract', 'Techno', 'Sound Collage']",['Electronic']
484,dentis   Music for the Masses EP,dentis - Music for the Masses EP,"['Techno', 'Industrial']",['Electronic']
486,Forest Drive West   System   Show Them,Forest Drive West - System - Show Them,['Techno'],['Electronic']
487,YOUTH   Katatonic Silentio   Pow Snake,YOUTH - Katatonic Silentio - Pow Snake.mp3,"['Abstract', 'Breaks', 'Experimental', 'Ambient', 'Leftfield', 'Illbient', 'Grime']",['Electronic']
489,E Talking   Laksa   Blue 04,E-Talking - Laksa - Blue 04,"['Techno', 'Breaks']",['Electronic']
490,Cabasa   Defective,Cabasa - Defective.mp3,"['Breaks', 'House', 'Ambient']",['Electronic']
492,Bambounou   Hale,Bambounou - Hale.mp3,['Techno'],['Electronic']
494,Cassius Select   Hype Hour,Cassius Select - Hype Hour.mp3,['House'],['Electronic']
495,PML BEATZ   Pedra de 800 Kg,PML BEATZ - Pedra de 800 Kg,['Kuduro'],"['Electronic', 'Folk, World, & Country']"
496,Angel Rocket   AM003,Angel Rocket - AM003,['Techno'],['Electronic']
498,SECRET BOYFRIEND   Memory Care Unit,SECRET BOYFRIEND - Memory Care Unit,"['Ambient', 'Drone', 'Dark Ambient']",['Electronic']
499,Silas   Snare   PRESSURE,Silas & Snare - PRESSURE,['Bass Music'],"['Electronic', 'Hip Hop']"
500,Kashual Plastik   Laure Boer   Agate et la pierre de Sable,Kashual Plastik - Laure Boer - Agate et la pierre de Sable,"['Experimental', 'Noise', 'Neofolk', 'Electroacoustic']","['Electronic', 'Folk, World, & Country']"
501,Cassius Select   Slang,Cassius Select - Slang,['Dubstep'],['Electronic']
502,Cabasa   Mail Sent EP,Cabasa - Mail Sent EP,"['Breaks', 'Techno', 'Ambient']",['Electronic']
503,Headless Horseman   Headless Horseman 007,Headless Horseman - Headless Horseman 007,"['Techno', 'Industrial']",['Electronic']
505,SKREAM   Unreleased Classics Vol.1 2003   2003,SKREAM - Unreleased Classics Vol.1 2003 - 2003,['Dubstep'],['Electronic']
506,Avon Terror Corps   Wisecrack   Flesh,Avon Terror Corps - Wisecrack - Flesh.mp3,"['Industrial', 'Experimental', 'Noise', 'Rhythmic Noise', 'Techno', 'Darkwave']",['Electronic']
507,Ruutu Poiss   Demosoup,Ruutu Poiss - Demosoup,['Leftfield'],['Electronic']
510,SSIEGE   Firenze Pad   Uomo Luce,SSIEGE - Firenze Pad - Uomo Luce,"['Ambient', 'Abstract']",['Electronic']
511,The Dengie Hundred   Tube ,The Dengie Hundred - Tube (pre-order),"['Ambient', 'Experimental']",['Electronic']
512,Eterno Ritorno   TP010  Eterno Ritorno,Eterno Ritorno - TP010- Eterno Ritorno,"['Punk', 'Hardcore']",['Rock']
516,Joy Orbison   Off Season   Fuerza  HINF8679,Joy Orbison - Off Season - Fuerza -HINF8679,"['Techno', 'Breaks']",['Electronic']
517,Space Drum Meditation   Space Drum Meditation   SDM004,Space Drum Meditation - Space Drum Meditation - SDM004,"['Tribal', 'Techno']",['Electronic']
519,At One   Rainfall In Dub,At One - Rainfall In Dub,['Synth-pop'],['Electronic']
520,Compa   Take Control,Compa - Take Control,"['Dubstep', 'Grime']",['Electronic']
521,Pugilist   Cha,Pugilist - Cha.mp3,['Dubstep'],['Electronic']
522,DJ Normal 4   BFDM009   MENTAL COMMAND TERROR,DJ Normal 4 - BFDM009 - MENTAL COMMAND TERROR,"['Breakbeat', 'Trance', 'Tribal']",['Electronic']
524,Twins   Nothing Left,Twins - Nothing Left,"['Synth-pop', 'New Wave', 'New Beat', 'House', 'Acid', 'Industrial']",['Electronic']
525,Perc   Before I Go,Perc - Before I Go.mp3,['Techno'],['Electronic']
526,DJ NERVOSO   DJ Nervoso,DJ NERVOSO - DJ Nervoso,"['House', 'Techno', 'Kuduro']","['Electronic', 'Folk, World, & Country']"
527,Intel Mercenary   Wilted Woman   IMWW,Intel Mercenary - Wilted Woman - IMWW,"['Experimental', 'Ambient', 'Techno']",['Electronic']
528,Sebastiano Carghini   tpeso,Sebastiano Carghini - tpeso,"['Abstract', 'Experimental']",['Electronic']
529,Rorschac   Lolophophora,Rorschac - Lolophophora,"['Abstract', 'Field Recording', 'Neo-Classical']","['Electronic', 'Stage & Screen']"
531,Ansome   Penny   Pound EP,Ansome - Penny & Pound EP,['Techno'],['Electronic']
533,John T. Gast   KINGS X   EXTENDED MIX,John T. Gast - KINGS X - EXTENDED MIX,"['Dub', 'Techno']","['Electronic', 'Reggae']"
534,Pangaea   You Know Whats Up,Pangaea - You Know What's Up.mp3,"['Techno', 'House']",['Electronic']
535,Delroy Edwards   4 Club Use Only ,Delroy Edwards - 4 Club Use Only (L.I.E.S),"['House', 'Techno']",['Electronic']
536,Gesloten Cirkel   M 011,Gesloten Cirkel - M-011,"['Acid House', 'Techno', 'Electro']",['Electronic']
537,Perc   My Head Is Slowly Exploding,Perc - My Head Is Slowly Exploding.mp3,['Techno'],['Electronic']
538,Neinzer   Deff,Neinzer - Deff.mp3,"['Techno', 'Abstract', 'Breakbeat', 'Ambient']",['Electronic']
539,King Doudou   Cachetona,King Doudou - Cachetona.mp3,"['Breaks', 'Experimental', 'Breakcore', 'Ragga HipHop']","['Electronic', 'Hip Hop']"
540,Job Sifre   Het Bestaan,Job Sifre - Het Bestaan,"['EBM', 'Electro', 'New Wave']",['Electronic']
541,The saturnian system   The sequel  ,The saturnian system - The sequel (2017) (flac),"['Electro', 'Acid', 'Techno']",['Electronic']
542,Ninja Exotic Machine   Wokatikitanku Ep,Ninja Exotic Machine - Wokatikitanku Ep,"['Tribal', 'Downtempo', 'Tribal House', 'Broken Beat']",['Electronic']
543,Breaka   004   Rorys Theme   Puffer Jackets,Breaka - 004 - Rory's Theme - Puffer Jackets,"['Bass Music', 'Deep House', 'Breaks']",['Electronic']
544,Tropicantesimo   Tropicantesimo Session 1,Tropicantesimo - Tropicantesimo Session 1,"['Ambient', 'Dub', 'Tropical House', 'Synth-pop']","['Electronic', 'Funk / Soul']"
545,Overmono   Diamond Cut   Bby,Overmono - Diamond Cut - Bby,"['UK Garage', 'Breakbeat']",['Electronic']
546,Space Afrika   hybtwibt,Space Afrika - hybtwibt,"['Abstract', 'Experimental', 'Ambient', 'Dub', 'Leftfield']",['Electronic']
547,Greg Beato   When Monkeys Attack  ,Greg Beato - When Monkeys Attack (2015) [FLAC],"['House', 'Techno']",['Electronic']
548,Jay Daniel   2013   Scorpio Rising EP,Jay Daniel - 2013 - Scorpio Rising EP,"['House', 'Deep House']",['Electronic']
549,King Doudou   Novinha   Tremendo Bumbum,King Doudou - Novinha - Tremendo Bumbum,"['Reggaeton', 'Trap', 'Industrial']","['Electronic', 'Hip Hop', 'Latin']"
550,Donato Dozzy   The Tao,Donato Dozzy - The Tao,"['Drum n Bass', 'Techno', 'Experimental']",['Electronic']
