Catalog#,Artist,Title,Label,Format,Rating,Released,release_id,CollectionFolder,Date Added,Collection Media Condition,Collection Sleeve Condition,Collection Notes
box clever 005,Lurka,Return / Stabiliser,Box Clever,"10""",,2011,2809657,Various,2019-05-02 20:00:33,Mint (M),Generic,
BFDM018,Simo Cell,5 Party Mix,Brothers From Different Mothers,"12"", EP",,2018,12574230,Various,2019-05-01 21:25:42,Mint (M),Mint (M),
BFDM022,Hajj,Dédicace À Personne,Brothers From Different Mothers,"10""",,2020,15453608,Uncategorized,2021-08-21 03:45:16,,,
CANT003,Zumvo,Разводы,CANT (2),"Cass, Album, Ltd",,2020,15618626,Uncategorized,2022-03-04 10:18:30,,,
CHANT 9,Tribe Of Colin,LIONSPRINTCOMPLETE INTENTHOUSAND PRACTICESTHUS COMEONE,Chant (7),LP,,2018,12220449,Uncategorized,2021-07-05 01:41:34,,,
"WBRCD4, 7243 8 45599 2 2",Massive Attack,Mezzanine,"Circa, Circa, Virgin, Virgin","CD, Album",,1998,12498472,Uncategorized,2022-03-04 15:45:17,,,
CLAQUEMUSIQUE016,Donato Dozzy,Cassandra,Claque Musique,"12""",,2015,7103146,Uncategorized,2022-03-23 03:48:17,Mint (M),Mint (M),
CBS021,Randomer,Concierge,Clone Basement Series,"12""",,2016,8293133,Early,2019-05-02 20:06:46,Mint (M),Generic,
"495347 2, 4953472000",The Clash,London Calling,"Columbia, Columbia","CD, Album, RE, RM",,1999,644773,Uncategorized,2022-03-04 11:46:07,,,
CLREU005,Scientist Meets Hempress Sativa,In Dub,Conquering Lion Records,"LP, Album",,2018,11362681,Uncategorized,2020-06-19 06:41:39,Mint (M),Mint (M),
COUNT02,Detroit Syndrome,Count 02,Counter 99,"12"", EP",,2017,11149474,Various,2019-05-02 20:09:36,Mint (M),Generic,
cres cd085,My Bloody Valentine,Tremolo E.P.,Creation Records,"CD, EP, RP",,0,6840731,Uncategorized,2022-03-04 14:55:46,,,
CT01,Prince Far I & Black Skin The Prophet / Prince Far I,Armegeddon,Cry Tuff,"7"", Single, RE",,2011,2800075,Uncategorized,2021-08-21 03:33:53,,,
DDS047,Demdike Stare,Drum Machines,DDS,"Cass, Mixtape",,2021,17927452,Uncategorized,2022-03-04 10:29:47,,,
